WORD TO INSERT,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
The,460700,519700,378800
Project,4800,16700,8700
Gutenberg,1000,11300,3100
EBook,900,9600,3500
of,800,9400,3200
Pride,900,12100,10200
and,2500,34400,5700
Prejudice,1700,25900,10100
by,2100,28100,8500
Jane,1900,28400,11500
Austen,2000,29100,8900
This,1900,14800,7400
eBook,1300,10700,4600
is,1100,9000,5400
for,1200,13200,6000
the,1300,9600,3100
use,1200,11300,3900
of,900,8500,3000
anyone,1200,9200,4900
anywhere,1200,10300,5500
at,1500,10100,6500
no,1400,12100,12300
cost,1400,10600,7000
and,1200,9400,2000
with,1700,9100,4700
almost,2200,15600,4700
no,700,8300,5800
restrictions,1600,9800,3400
whatsoever,1500,10000,4800
You,1600,9400,8300
may,2600,10400,6000
copy,1700,9100,5200
it,1600,8400,6300
give,1600,8700,5700
it,500,7000,4100
away,1700,8700,6000
or,1700,13000,4300
re,2500,17700,5800
use,1100,9000,6800
it,600,7200,3000
under,1900,9100,1229400
the,1600,9800,1700
terms,2200,12100,3300
of,1900,9300,1800
the,1400,11100,1600
Project,1600,10100,900
Gutenberg,1400,9300,1200
License,2000,13800,3600
included,1900,9300,4600
with,1400,12700,2100
this,2300,9800,3600
eBook,1400,8600,3500
or,800,7400,2000
online,2900,10200,6900
at,1200,7700,3200
www,2100,12500,3400
gutenberg,2000,9400,4500
org,2200,9000,4000
Title,3100,13900,6400
Pride,2000,9600,1200
and,1600,27700,800
Prejudice,1800,9100,1100
Author,3100,14100,2500
Jane,2200,13200,1200
Austen,1700,8800,900
Posting,2900,13500,2800
Date,2600,10000,2000
August,2200,8900,1700
26,2200,8300,1400
2008,2200,8600,1600
EBook,2000,8100,800
1342,2300,10700,2000
Release,3300,13500,1400
Date,700,7200,1200
June,2500,9000,2300
1998,3500,10000,2100
Last,3300,13800,2700
updated,3300,9900,2400
August,900,6800,1000
11,10200,16900,2000
2011,2800,8500,1900
Language,3400,12800,2800
English,2700,9200,1600
START,4100,13900,2000
OF,2800,8200,2200
THIS,7200,24200,4300
PROJECT,2700,9300,2700
GUTENBERG,2300,7900,1600
