WORD TO SEARCH,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
cultivation,224200,9800,18700
12,161200,1600,400
livery,29300,1900,1300
above,100300,2900,400
respected,61500,2700,1300
pictures,30100,1600,1400
netting,70700,3400,900
health,65800,1800,700
stoutly,102400,2800,700
elevated,81000,1900,700
termed,9600,900,1400
fully,87900,2300,500
fuss,15600,300,700
mere,55900,2900,900
surprised,67800,2300,700
aloof,32800,1200,500
instructed,48500,2700,1400
privilege,55600,2100,800
volubility,32300,1800,700
awkwardness,38300,800,700
tastes,31500,1700,700
agreed,75600,2000,300
45,25200,1200,600
prohibited,18900,800,1000
stepping,40900,1800,700
humanity,61300,1900,600
doorway,90100,1800,900
perfections,56400,2100,600
portraits,64200,2100,600
de,59400,2500,500
purse,64300,1800,700
disclosure,34100,1100,800
pledged,18400,600,800
talking,68400,2100,500
ourselves,68800,1300,400
projected,57200,2000,700
impressed,69500,1900,500
befriended,38900,2000,600
drily,44700,1800,700
pace,63900,1500,500
26th,26100,1100,500
reluctant,55200,1000,1100
pausing,39500,1200,700
instability,42800,1400,800
seemed,70700,2000,1100
invalid,65500,2100,500
deeper,58800,1500,500
loveliness,57000,1200,600
exert,37000,500,800
exaggeration,65200,1500,500
exceeding,18000,900,1000
inquiries,64800,2800,700
settlements,56300,1400,800
subjoin,16900,500,1100
coaxed,54600,1400,600
reserves,57000,1100,800
point,67800,1300,500
stirs,54100,3800,700
correspondence,89700,2900,500
union,63900,1200,600
hills,29500,1100,800
condition,43100,1300,700
achieving,57200,1600,400
serviceable,20600,1300,800
invalidity,2000,500,700
murmurs,54300,1600,600
twelve,73500,2300,600
indulgent,62800,800,800
abrupt,28900,300,600
explanation,61100,1400,600
sounds,18400,400,900
impetuous,22600,900,600
suspended,58900,2100,500
induced,61200,1600,600
penetration,9800,400,1200
confessed,79200,2600,800
chambermaid,46300,1300,600
quarreling,62300,1300,900
spacious,29400,800,1100
reasonableness,64900,1800,500
favour,69400,1300,500
met,66600,2800,700
abilities,60300,2000,300
hypertext,4300,400,800
do,70300,3000,500
brings,56600,1200,600
distrust,57100,1900,700
DAMAGES,3400,200,700
limits,14800,700,900
augmented,17300,400,900
arguments,62900,2300,400
deliberation,58900,2600,500
Widely,38200,1800,500
intrude,24100,500,800
unpardonable,70900,1300,1100
indisposed,64800,1800,800
desertion,52500,1000,1100
hypocrisy,9300,400,900
sprang,34000,600,1000
paling,41900,1200,1100
speaking,73200,2300,600
spurned,17200,700,900
noisy,58300,1000,800
men,69800,2100,600
donors,700,300,500
balls,62100,1000,300
propensities,40300,1400,900
Hertfordshire,66200,3800,400
taught,62900,900,600
impossible,71400,1200,500
glimpse,42500,1800,800
assure,117000,3500,300
befall,54500,2400,300
downstairs,64900,2200,400
insipidity,66000,2800,600
reflections,65400,1700,600
fearing,63400,1100,500
latter,66500,900,600
flat,61900,1800,400
